,col0,col1,col2
888,3929.5,164.0,4.0
889,3930.5,158.0,2.0
890,3931.5,156.0,6.0
891,3932.5,156.0,6.0
892,3933.5,154.0,4.0
893,3934.5,166.0,2.0
894,3935.5,160.0,2.0
895,3936.5,154.0,4.0
896,3937.5,160.0,4.0
897,3938.5,162.0,4.0
898,3939.5,156.0,6.0
899,3940.5,156.0,2.0
900,3941.5,154.0,4.0
901,3942.5,174.0,4.0
902,3943.5,142.0,0.0
903,3944.5,160.0,6.0
904,3945.5,152.0,6.0
905,3946.5,152.0,4.0
906,3947.5,152.0,4.0
907,3948.5,146.0,4.0
908,3949.5,150.0,4.0
909,3950.5,166.0,8.0
910,3951.5,156.0,4.0
911,3952.5,150.0,4.0
912,3953.5,168.0,4.0
913,3954.5,146.0,2.0
914,3955.5,152.0,4.0
915,3956.5,162.0,4.0
916,3957.5,154.0,4.0
917,3958.5,152.0,4.0
918,3959.5,148.0,2.0
919,3960.5,154.0,6.0
