NUV, %
  255.90,  51.3492 
  256.00,  51.3180 
  256.10,  51.2868 
  256.20,  51.2556 
  256.30,  51.2244 
  256.40,  51.1932 
  256.50,  51.1620 
  256.60,  51.1308 
  256.70,  51.0996 
  256.80,  51.0684 
  256.90,  51.0372 
  257.00,  51.0060 
  257.10,  50.9748 
  257.20,  50.9436 
  257.30,  50.9124 
  257.40,  50.8812 
  257.50,  50.8500 
  257.60,  50.8188 
  257.70,  50.7876 
  257.80,  50.7564 
  257.90,  50.7252 
  258.00,  50.6940 
  258.10,  50.6628 
  258.20,  50.6316 
  258.30,  50.6004 
  258.40,  50.5692 
  258.50,  50.5380 
  258.60,  50.5068 
  258.70,  50.4756 
  258.80,  50.4444 
  258.90,  50.4132 
  259.00,  50.3820 
  259.10,  50.3508 
  259.20,  50.3196 
  259.30,  50.2884 
  259.40,  50.2572 
  259.50,  50.2260 
  259.60,  50.1948 
  259.70,  50.1636 
  259.80,  50.1324 
  259.90,  50.1012 
  260.00,  50.0700 
  260.10,  49.9824 
  260.20,  49.8948 
  260.30,  49.8072 
  260.40,  49.7196 
  260.50,  49.6320 
  260.60,  49.5444 
  260.70,  49.4568 
  260.80,  49.3692 
  260.90,  49.2816 
  261.00,  49.1940 
  261.10,  49.1064 
  261.20,  49.0188 
  261.30,  48.9312 
  261.40,  48.8436 
  261.50,  48.7560 
  261.60,  48.6684 
  261.70,  48.5808 
  261.80,  48.4932 
  261.90,  48.4056 
  262.00,  48.3180 
  262.10,  48.2304 
  262.20,  48.1428 
  262.30,  48.0552 
  262.40,  47.9676 
  262.50,  47.8800 
  262.60,  47.7924 
  262.70,  47.7048 
  262.80,  47.6172 
  262.90,  47.5296 
  263.00,  47.4420 
  263.10,  47.3544 
  263.20,  47.2668 
  263.30,  47.1792 
  263.40,  47.0916 
  263.50,  47.0040 
  263.60,  46.9164 
  263.70,  46.8288 
  263.80,  46.7412 
  263.90,  46.6536 
  264.00,  46.5660 
  264.10,  46.4784 
  264.20,  46.3908 
  264.30,  46.3032 
  264.40,  46.2156 
  264.50,  46.1280 
  264.60,  46.0404 
  264.70,  45.9528 
  264.80,  45.8652 
  264.90,  45.7776 
  265.00,  45.6900 
  265.10,  45.5280 
  265.20,  45.3660 
  265.30,  45.2040 
  265.40,  45.0420 
  265.50,  44.8800 
  265.60,  44.7180 
  265.70,  44.5560 
  265.80,  44.3940 
  265.90,  44.2320 
  266.00,  44.0700 
  266.10,  43.9080 
  266.20,  43.7460 
  266.30,  43.5840 
  266.40,  43.4220 
  266.50,  43.2600 
  266.60,  43.0980 
  266.70,  42.9360 
  266.80,  42.7740 
  266.90,  42.6120 
  267.00,  42.4500 
  267.10,  42.2880 
  267.20,  42.1260 
  267.30,  41.9640 
  267.40,  41.8020 
  267.50,  41.6400 
  267.60,  41.4780 
  267.70,  41.3160 
  267.80,  41.1540 
  267.90,  40.9920 
  268.00,  40.8300 
  268.10,  40.6680 
  268.20,  40.5060 
  268.30,  40.3440 
  268.40,  40.1820 
  268.50,  40.0200 
  268.60,  39.8580 
  268.70,  39.6960 
  268.80,  39.5340 
  268.90,  39.3720 
  269.00,  39.2100 
  269.10,  39.0480 
  269.20,  38.8860 
  269.30,  38.7240 
  269.40,  38.5620 
  269.50,  38.4000 
  269.60,  38.2380 
  269.70,  38.0760 
  269.80,  37.9140 
  269.90,  37.7520 
  270.00,  37.5900 
  270.10,  37.3362 
  270.20,  37.0824 
  270.30,  36.8286 
  270.40,  36.5748 
  270.50,  36.3210 
  270.60,  36.0672 
  270.70,  35.8134 
  270.80,  35.5596 
  270.90,  35.3058 
  271.00,  35.0520 
  271.10,  34.7982 
  271.20,  34.5444 
  271.30,  34.2906 
  271.40,  34.0368 
  271.50,  33.7830 
  271.60,  33.5292 
  271.70,  33.2754 
  271.80,  33.0216 
  271.90,  32.7678 
  272.00,  32.5140 
  272.10,  32.2602 
  272.20,  32.0064 
  272.30,  31.7526 
  272.40,  31.4988 
  272.50,  31.2450 
  272.60,  30.9912 
  272.70,  30.7374 
  272.80,  30.4836 
  272.90,  30.2298 
  273.00,  29.9760 
  273.10,  29.7222 
  273.20,  29.4684 
  273.30,  29.2146 
  273.40,  28.9608 
  273.50,  28.7070 
  273.60,  28.4532 
  273.70,  28.1994 
  273.80,  27.9456 
  273.90,  27.6918 
  274.00,  27.4380 
  274.10,  27.1842 
  274.20,  26.9304 
  274.30,  26.6766 
  274.40,  26.4228 
  274.50,  26.1690 
  274.60,  25.9152 
  274.70,  25.6614 
  274.80,  25.4076 
  274.90,  25.1538 
  275.00,  24.9000 
  275.10,  24.6186 
  275.20,  24.3372 
  275.30,  24.0558 
  275.40,  23.7744 
  275.50,  23.4930 
  275.60,  23.2116 
  275.70,  22.9302 
  275.80,  22.6488 
  275.90,  22.3674 
  276.00,  22.0860 
  276.10,  21.8046 
  276.20,  21.5232 
  276.30,  21.2418 
  276.40,  20.9604 
  276.50,  20.6790 
  276.60,  20.3976 
  276.70,  20.1162 
  276.80,  19.8348 
  276.90,  19.5534 
  277.00,  19.2720 
  277.10,  18.9906 
  277.20,  18.7092 
  277.30,  18.4278 
  277.40,  18.1464 
  277.50,  17.8650 
  277.60,  17.5836 
  277.70,  17.3022 
  277.80,  17.0208 
  277.90,  16.7394 
  278.00,  16.4580 
  278.10,  16.1766 
  278.20,  15.8952 
  278.30,  15.6138 
  278.40,  15.3324 
  278.50,  15.0510 
  278.60,  14.7696 
  278.70,  14.4882 
  278.80,  14.2068 
  278.90,  13.9254 
  279.00,  13.6440 
  279.10,  13.3626 
  279.20,  13.0812 
  279.30,  12.7998 
  279.40,  12.5184 
  279.50,  12.2370 
  279.60,  11.9556 
  279.70,  11.6742 
  279.80,  11.3928 
  279.90,  11.1114 
  280.00,  10.8300 
  280.10,  10.6824 
  280.20,  10.5348 
  280.30,  10.3872 
  280.40,  10.2396 
  280.50,  10.0920 
  280.60,   9.9444 
  280.70,   9.7968 
  280.80,   9.6492 
  280.90,   9.5016 
  281.00,   9.3540 
  281.10,   9.2064 
  281.20,   9.0588 
  281.30,   8.9112 
  281.40,   8.7636 
  281.50,   8.6160 
  281.60,   8.4684 
  281.70,   8.3208 
  281.80,   8.1732 
  281.90,   8.0256 
  282.00,   7.8780 
  282.10,   7.7304 
  282.20,   7.5828 
  282.30,   7.4352 
  282.40,   7.2876 
  282.50,   7.1400 
  282.60,   6.9924 
  282.70,   6.8448 
  282.80,   6.6972 
  282.90,   6.5496 
  283.00,   6.4020 
  283.10,   6.2544 
  283.20,   6.1068 
  283.30,   5.9592 
  283.40,   5.8116 
  283.50,   5.6640 
  283.60,   5.5164 
  283.70,   5.3688 
  283.80,   5.2212 
  283.90,   5.0736 
  284.00,   4.9260 
  284.10,   4.7784 
  284.20,   4.6308 
  284.30,   4.4832 
  284.40,   4.3356 
  284.50,   4.1880 
  284.60,   4.0404 
  284.70,   3.8928 
  284.80,   3.7452 
  284.90,   3.5976 
  285.00,   3.4500 
  285.10,   3.4060 
  285.20,   3.3620 
